line_code	env_code	FTdap	FTgdd
Line114	TH_08	61.5	2171.43
Line114	TS_07	93	2346.5475
Line114	TS_08E	129.5	2499.975
Line114	TS_08L	73.5	2196.405
Line114	TS_09	111	2654.64
Line115	FU_08	84.5	2538.63
Line115	HA_08	66.5	2335.05
Line115	ISA_08	114.5	2539.575
Line115	ISI_08	71.5	2539.17
Line115	TH_08	65	2307.465
Line115	TS_07	99.5	2561.85
Line115	TS_08E	132.5	2610.2475
Line115	TS_08L	76.5	2289.0825
Line115	TS_09	112	2685.195
Line116	FU_08	97	2909.79
Line116	HA_08	72	2546.73
Line116	ISA_08	109	2363.4
Line116	ISI_08	74	2640.87
Line116	TH_08	70.5	2462.085
Line116	TS_07	100	2598.39
Line116	TS_08E	126	2391.93
Line116	TS_08L	83	2488.7475
Line116	TS_09	108	2560.545
Line117	FU_08	107	3191.37
Line117	HA_08	76.5	2688.885
Line117	ISA_08	139	3234.915
Line117	ISI_08	78	2778.93
Line117	TH_08	74	2595.375
Line117	TS_07	119	3184.8975
Line117	TS_08E	160	3460.905
Line117	TS_08L	95.5	2791.755
Line117	TS_09	137.5	3373.11
Line118	FU_08	70	2097.465
Line118	HA_08	72	2546.73
Line118	ISA_08	86	1593.945
Line118	ISI_08	69.5	2473.02
Line118	TH_08	70	2462.085
Line118	TS_07	79.5	1847.8125
Line118	TS_08E	104	1663.74
Line118	TS_08L	65.5	1953
Line118	TS_09	85	1857.015
Line119	FU_08	108	3220.89
Line119	HA_08	76	2688.885
Line119	ISA_08	131.5	3004.515
Line119	ISI_08	79	2809.44
Line119	TH_08	74	2595.375
Line119	TS_07	122	3264.1875
Line119	TS_08E	153	3240.8325
Line119	TS_08L	97	2836.35
Line119	TS_09	132.5	3247.515
Line12	FU_08	71	2133.735
Line12	HA_08	64.5	2261.385
Line12	ISA_08	99.5	2034.315
Line12	ISI_08	62	2224.665
Line12	TH_08	NA	NA
Line12	TS_07	92.5	2309.6025
Line12	TS_08E	124.5	2322.405
Line12	TS_08L	66.5	1979.865
Line12	TS_09	100	2308.2075
Line120	FU_08	83.5	2511.96
Line120	HA_08	79	2789.325
Line120	ISA_08	98	2004.12
Line120	ISI_08	76.5	2710.17
Line120	TH_08	74.5	2595.375
Line120	TS_07	88	2160.4275
Line120	TS_08E	113	1955.655
Line120	TS_08L	80.5	2405.8575
Line120	TS_09	96	2192.2425
Line121	FU_08	89	2668.98
Line121	HA_08	63	2223.855
Line121	ISA_08	103.5	2160.9
Line121	ISI_08	64	2295.765
Line121	TH_08	60	2135.7
Line121	TS_07	92.5	2309.6025
Line121	TS_08E	116	2060.46
Line121	TS_08L	77.5	2319.0075
Line121	TS_09	103.5	2406.555
Line122	FU_08	76.5	2304.375
Line122	HA_08	68	2412.54
Line122	ISA_08	102	2126.61
Line122	ISI_08	68	2438.325
Line122	TH_08	68.5	2400.885
Line122	TS_07	91	2274.0075
Line122	TS_08E	123	2290.815
Line122	TS_08L	69	2069.01
Line122	TS_09	100.5	2308.2075
Line123	FU_08	77.5	2340.09
Line123	HA_08	67.5	2372.67
Line123	ISA_08	104.5	2197.89
Line123	ISI_08	68	2438.325
Line123	TH_08	69.5	2429.55
Line123	TS_07	93.5	2346.5475
Line123	TS_08E	124	2322.405
Line123	TS_08L	70	2098.575
Line123	TS_09	103	2406.555
Line124	FU_08	97	2909.79
Line124	HA_08	NA	NA
Line124	ISA_08	114	2539.575
Line124	ISI_08	85	2990.34
Line124	TH_08	84	2944.845
Line124	TS_07	101.5	2634.5025
Line124	TS_08E	128	2463.84
Line124	TS_08L	92	2715.2775
Line124	TS_09	111	2654.64
Line125	FU_08	112.5	3335.775
Line125	HA_08	93	3249.45
Line125	ISA_08	125.5	2847.15
Line125	ISI_08	101.5	3511.305
Line125	TH_08	90	3151.395
Line125	TS_07	113	2993.4225
Line125	TS_08E	135.5	2707.7175
Line125	TS_08L	100	2875.4325
Line125	TS_09	123.5	3018.465
Line126	FU_08	89.5	2668.98
Line126	HA_08	63.5	2223.855
Line126	ISA_08	105.5	2230.155
Line126	ISI_08	66.5	2366.685
Line126	TH_08	62	2207.025
Line126	TS_07	95.5	2425.0275
Line126	TS_08E	123	2290.815
Line126	TS_08L	79.5	2378.2725
Line126	TS_09	105	2469.51
Line127	FU_08	73	2206.095
Line127	HA_08	62.5	2186.235
Line127	ISA_08	93.5	1835.0325
Line127	ISI_08	63	2260.17
Line127	TH_08	64	2272.32
Line127	TS_07	85	2053.8225
Line127	TS_08E	109.5	1827
Line127	TS_08L	68.5	2039.67
Line127	TS_09	91	2045.16
Line128	FU_08	75.5	2272.185
Line128	HA_08	65	2297.925
Line128	ISA_08	95.5	1906.83
Line128	ISI_08	66.5	2366.685
Line128	TH_08	67.5	2371.59
