Loc	Rep	Entry	FT
TS_08E	1	Line12	125
TH_08	2	Line12	NA
HA_08	2	Line12	64
ISI_08	2	Line12	62
TS_08L	2	Line12	67
FU_08	2	Line12	71
TS_07	2	Line12	92
TS_09	2	Line12	100
ISA_08	2	Line12	100
TS_08E	2	Line12	124
TH_08	1	Line13	NA
HA_08	1	Line13	66
ISI_08	1	Line13	66
TS_08L	1	Line13	69
FU_08	1	Line13	75
TS_07	1	Line13	88
TS_09	1	Line13	101
ISA_08	1	Line13	102
TS_08E	1	Line13	119
TH_08	2	Line13	NA
HA_08	2	Line13	67
ISI_08	2	Line13	64
TS_08L	2	Line13	70
FU_08	2	Line13	75
TS_07	2	Line13	88
TS_09	2	Line13	102
ISA_08	2	Line13	100
TS_08E	2	Line13	118
TH_08	1	Line14	61
HA_08	1	Line14	63
ISI_08	1	Line14	67
TS_08L	1	Line14	77
FU_08	1	Line14	88
TS_07	1	Line14	97
TS_09	1	Line14	113
ISA_08	1	Line14	118
TS_08E	1	Line14	131
TH_08	2	Line14	61
HA_08	2	Line14	65
ISI_08	2	Line14	67
TS_08L	2	Line14	78
FU_08	2	Line14	88
TS_07	2	Line14	99
TS_09	2	Line14	115
ISA_08	2	Line14	116
TS_08E	2	Line14	130
TH_08	1	Line15	58
HA_08	1	Line15	60
ISI_08	1	Line15	62
TS_08L	1	Line15	61
FU_08	1	Line15	72
TS_07	1	Line15	86
TS_09	1	Line15	95
ISA_08	1	Line15	94
TS_08E	1	Line15	112
TH_08	2	Line15	60
HA_08	2	Line15	62
ISI_08	2	Line15	61
TS_08L	2	Line15	62
FU_08	2	Line15	71
TS_07	2	Line15	85
TS_09	2	Line15	96
ISA_08	2	Line15	89
TS_08E	2	Line15	107
TH_08	1	Line16	61
HA_08	1	Line16	65
ISI_08	1	Line16	63
TS_08L	1	Line16	64
FU_08	1	Line16	72
TS_07	1	Line16	87
TS_09	1	Line16	100
ISA_08	1	Line16	98
TS_08E	1	Line16	120
TH_08	2	Line16	60
HA_08	2	Line16	65
ISI_08	2	Line16	61
TS_08L	2	Line16	65
FU_08	2	Line16	72
TS_07	2	Line16	87
TS_09	2	Line16	102
ISA_08	2	Line16	97
TS_08E	2	Line16	116
TH_08	1	Line17	61
HA_08	1	Line17	64
ISI_08	1	Line17	64
TS_08L	1	Line17	70
FU_08	1	Line17	79
TS_07	1	Line17	94
TS_09	1	Line17	103
ISA_08	1	Line17	103
TS_08E	1	Line17	125
TH_08	2	Line17	59
HA_08	2	Line17	65
ISI_08	2	Line17	64
TS_08L	2	Line17	70
FU_08	2	Line17	79
TS_07	2	Line17	92
TS_09	2	Line17	104
ISA_08	2	Line17	102
TS_08E	2	Line17	121
TH_08	1	Line18	61
HA_08	1	Line18	64
ISI_08	1	Line18	63
TS_08L	1	Line18	59
FU_08	1	Line18	66
TS_07	1	Line18	77
TS_09	1	Line18	82
ISA_08	1	Line18	85
TS_08E	1	Line18	104
TH_08	2	Line18	61
HA_08	2	Line18	63
ISI_08	2	Line18	65
TS_08L	2	Line18	61
FU_08	2	Line18	66
TS_07	2	Line18	81
TS_09	2	Line18	81
ISA_08	2	Line18	85
TS_08E	2	Line18	97
TH_08	1	Line19	62
HA_08	1	Line19	66
ISI_08	1	Line19	69
TS_08L	1	Line19	69
FU_08	1	Line19	72
TS_07	1	Line19	81
TS_09	1	Line19	89
ISA_08	1	Line19	90
TS_08E	1	Line19	108
TH_08	2	Line19	65
HA_08	2	Line19	66
ISI_08	2	Line19	67
TS_08L	2	Line19	67
FU_08	2	Line19	72
TS_07	2	Line19	81
TS_09	2	Line19	89
ISA_08	2	Line19	88
TS_08E	2	Line19	108
TH_08	1	Line20	NA
HA_08	1	Line20	62
ISI_08	1	Line20	61
TS_08L	1	Line20	61
FU_08	1	Line20	68
TS_07	1	Line20	82
TS_09	1	Line20	90
ISA_08	1	Line20	89
TS_08E	1	Line20	111
TH_08	2	Line20	NA
HA_08	2	Line20	64
ISI_08	2	Line20	61
TS_08L	2	Line20	62
FU_08	2	Line20	68
TS_07	2	Line20	83
TS_09	2	Line20	89
ISA_08	2	Line20	89
TS_08E	2	Line20	107
TH_08	1	Line21	79
HA_08	1	Line21	NA
ISI_08	1	Line21	80
TS_08L	1	Line21	76
FU_08	1	Line21	77
