env_code	date	TMAX	TMIN	DL	GDD	DTR	PTT	PTR	PTD1	PTD2	PTS
DEH1_15	2015-04-29	73.94	43.64	13.707	11.97	30.3	164.0728	0.8733	415.3221	2.2105	669361.7785
DEH1_15	2015-04-30	72.02	49.94	13.744	11.01	22.08	151.3214	0.8011	303.4675	1.6065	508677.7923
DEH1_15	2015-05-01	57.98	45.38	13.78	3.99	12.6	54.9822	0.2896	173.628	0.9144	247298.4993
DEH1_15	2015-05-02	71.36	41.36	13.816	10.68	30	147.5549	0.773	414.48	2.1714	645486.0842
DEH1_15	2015-05-03	79.7	44.66	13.852	14.85	35.04	205.7022	1.072	485.3741	2.5296	836122.2424
DEH1_15	2015-05-04	83	50	13.887	16.5	33	229.1355	1.1882	458.271	2.3763	846413.2471
DEH1_15	2015-05-05	83	62.36	13.922	22.68	20.64	315.751	1.6291	287.3501	1.4825	581510.9086
DEH1_15	2015-05-06	80.66	56.36	13.956	18.51	24.3	258.3256	1.3263	339.1308	1.7412	648503.2521
DEH1_15	2015-05-07	76.64	52.64	13.99	14.64	24	204.8136	1.0465	335.76	1.7155	607264.6687
DEH1_15	2015-05-08	80.66	55.34	14.024	18	25.32	252.432	1.2835	355.0877	1.8055	677245.9489
DEH1_15	2015-05-09	81.68	63.68	14.057	22.68	18	318.8128	1.6134	253.026	1.2805	517014.483
DEH1_15	2015-05-10	84.32	65	14.09	24.66	19.32	347.4594	1.7502	272.2188	1.3712	572726.251
DEH1_15	2015-05-11	79.04	65.3	14.122	22.17	13.74	313.0847	1.5699	194.0363	0.973	395517.6312
DEH1_15	2015-05-12	88.04	64.64	14.154	26.34	23.4	372.8164	1.861	331.2036	1.6532	715741.8166
DEH1_15	2015-05-13	78.32	56.36	14.185	17.34	21.96	245.9679	1.2224	311.5026	1.5481	595105.7188
DEH1_15	2015-05-14	70.04	47.3	14.216	10.02	22.74	142.4443	0.7048	323.2718	1.5996	539251.5149
DEH1_15	2015-05-15	75.26	45.62	14.246	12.63	29.64	179.927	0.8866	422.2514	2.0806	727140.8284
DEH1_15	2015-05-16	83.6	58.34	14.276	20.97	25.26	299.3677	1.4689	360.6118	1.7694	730720.3894
DEH1_15	2015-05-17	83.66	66.92	14.305	25.29	16.74	361.7734	1.7679	239.4657	1.1702	515820.3487
DEH1_15	2015-05-18	87.68	66.32	14.334	27	21.36	387.018	1.8836	306.1742	1.4902	675860.0396
DEH1_15	2015-05-19	83.3	66.62	14.362	24.96	16.68	358.4755	1.7379	239.5582	1.1614	515804.9013
DEH1_15	2015-05-20	71.96	53.6	14.39	12.78	18.36	183.9042	0.8881	264.2004	1.2759	477359.502
DEH1_15	2015-05-21	57.02	47.66	14.416	3.51	9.36000000000001	50.6002	0.2435	134.9338	0.6493	203624.0682
DEH1_15	2015-05-22	73.04	48.62	14.443	11.52	24.42	166.3834	0.7976	352.6981	1.6908	619738.2397
DEH1_15	2015-05-23	71	48.32	14.468	10.5	22.68	151.914	0.7257	328.1342	1.5676	566465.2787
DEH1_15	2015-05-24	78.38	46.34	14.493	14.19	32.04	205.6557	0.9791	464.3557	2.2107	839354.0572
DEH1_15	2015-05-25	81.98	55.7	14.518	18.84	26.28	273.5191	1.2977	381.533	1.8102	762622.8302
DEH1_15	2015-05-26	84.68	57.32	14.541	21	27.36	305.361	1.4442	397.8418	1.8816	821472.4186
DEH1_15	2015-05-27	87.02	61.64	14.564	24.33	25.38	354.3421	1.6706	369.6343	1.7427	800289.4408
DEH1_15	2015-05-28	85.34	68	14.586	26.67	17.34	389.0086	1.8285	252.9212	1.1888	565688.0057
DEH1_15	2015-05-29	84.98	64.34	14.608	24.66	20.64	360.2333	1.6881	301.5091	1.4129	657671.761
DEH1_15	2015-05-30	85.94	64.34	14.628	25.14	21.6	367.7479	1.7186	315.9648	1.4766	694584.1054
DEH1_15	2015-05-31	87.74	67.34	14.648	27.54	20.4	403.4059	1.8801	298.8192	1.3927	678801.2327
DEH1_15	2015-06-01	90.02	68.3	14.667	29.16	21.72	427.6897	1.9881	318.5672	1.4809	739738.4383
DEH1_15	2015-06-02	74.66	56.96	14.686	15.81	17.7	232.1857	1.0765	259.9422	1.2052	502460.8175
DEH1_15	2015-06-03	60.68	55.64	14.703	8.16	5.04	119.9765	0.555	74.1031	0.3428	126735.0803
DEH1_15	2015-06-04	61.7	57.32	14.72	9.51	4.38	139.9872	0.6461	64.4736	0.2976	112956.0967
DEH1_15	2015-06-05	66.02	58.28	14.736	12.15	7.73999999999999	179.0424	0.8245	114.0566	0.5252	208915.8138
DEH1_15	2015-06-06	78.38	58.34	14.751	18.36	20.04	270.8284	1.2447	295.61	1.3586	596173.5347
DEH1_15	2015-06-07	74.66	53.66	14.765	14.16	21	209.0724	0.959	310.065	1.4223	587463.0399
DEH1_15	2015-06-08	83.3	57.98	14.779	20.64	25.32	305.0386	1.3966	374.2043	1.7132	781329.9748
DEH1_15	2015-06-09	84.32	68.36	14.791	26.34	15.96	389.5949	1.7808	236.0644	1.079	533101.7552
DEH1_15	2015-06-10	83	61.34	14.803	22.17	21.66	328.1825	1.4977	320.633	1.4632	685085.2726
DEH1_15	2015-06-11	90.62	63.68	14.813	27.15	26.94	402.173	1.8328	399.0622	1.8187	912114.927
DEH1_15	2015-06-12	91.7	72.62	14.823	32.16	19.08	476.7077	2.1696	282.8228	1.2872	688875.9355
DEH1_15	2015-06-13	90.68	73.04	14.832	31.86	17.64	472.5475	2.1481	261.6365	1.1893	635330.5667
DEH1_15	2015-06-14	89.66	72.02	14.84	30.84	17.64	457.6656	2.0782	261.7776	1.1887	628091.1631
DEH1_15	2015-06-15	88.34	72.68	14.847	30.51	15.66	452.982	2.055	232.504	1.0548	555838.9765
DEH1_15	2015-06-16	92.6	72.32	14.853	32.46	20.28	482.1284	2.1854	301.2188	1.3654	737852.6458
DEH1_15	2015-06-17	83.72	67.64	14.858	25.68	16.08	381.5534	1.7284	238.9166	1.0822	537301.2754
DEH1_15	2015-06-18	86.36	69.38	14.863	27.87	16.98	414.2318	1.8751	252.3737	1.1424	584185.552
DEH1_15	2015-06-19	86	70.34	14.866	28.17	15.66	418.7752	1.8949	232.8016	1.0534	541065.8481
DEH1_15	2015-06-20	87.68	71.06	14.868	29.37	16.62	436.6732	1.9754	247.1062	1.1178	583206.6942
DEH1_15	2015-06-21	88.7	71.66	14.87	30.18	17.04	448.7766	2.0296	253.3848	1.1459	604209.5357
DEH1_15	2015-06-22	88.7	72.68	14.87	30.69	16.02	456.3603	2.0639	238.2174	1.0773	571655.2021
DEH1_15	2015-06-23	93.98	71.66	14.87	32.82	22.32	488.0334	2.2071	331.8984	1.501	817487.93
DEH1_15	2015-06-24	85.64	66.32	14.868	25.98	19.32	386.2706	1.7474	287.2498	1.2994	648995.2404
DEH1_15	2015-06-25	84.62	62.06	14.866	23.34	22.56	346.9724	1.57	335.377	1.5176	731304.513
DEH1_15	2015-06-26	77.3	65.36	14.863	21.33	11.94	317.0278	1.4351	177.4642	0.8033	376287.2491
DEH1_15	2015-06-27	77.36	62.96	14.858	20.16	14.4	299.5373	1.3568	213.9552	0.9692	446069.7535
DEH1_15	2015-06-28	80	65.6	14.853	22.8	14.4	338.6484	1.535	213.8832	0.9695	462543.1239
DEH1_15	2015-06-29	80.36	60.68	14.847	20.52	19.68	304.6604	1.3821	292.189	1.3255	611849.7831
DEH1_15	2015-06-30	86	64.34	14.84	25.17	21.66	373.5228	1.6961	321.4344	1.4596	717134.8038
DEH1_15	2015-07-01	85.64	69.08	14.832	27.36	16.56	405.8035	1.8447	245.6179	1.1165	563645.732
DEH1_15	2015-07-02	77.3	66.32	14.823	21.81	10.98	323.2896	1.4714	162.7565	0.7407	346489.0224
DEH1_15	2015-07-03	80.96	61.4	14.814	21.18	19.56	313.7605	1.4297	289.7618	1.3204	611084.841
DEH1_15	2015-07-04	81.02	68.36	14.803	24.69	12.66	365.4861	1.6679	187.406	0.8552	414405.6224
DEH1_15	2015-07-05	83.66	68.06	14.791	25.86	15.6	382.4953	1.7484	230.7396	1.0547	517800.5489
DEH1_15	2015-07-06	87.38	71.06	14.779	29.22	16.32	431.8424	1.9771	241.1933	1.1043	564774.5087
DEH1_15	2015-07-07	88.04	73.34	14.766	30.69	14.7	453.1685	2.0784	217.0602	0.9955	517240.7992
DEH1_15	2015-07-08	88.64	75.32	14.752	31.98	13.32	471.769	2.1678	196.4966	0.9029	475273.8743
DEH1_15	2015-07-09	89.66	73.64	14.737	31.65	16.02	466.426	2.1477	236.0867	1.0871	568155.0399
DEH1_15	2015-07-10	84.47	69.68	14.721	27.075	14.79	398.5711	1.8392	217.7236	1.0047	494067.5475
DEH1_15	2015-07-11	79.52	65.66	14.704	22.59	13.86	332.1634	1.5363	203.7974	0.9426	435051.8406
DEH1_15	2015-07-12	84.62	62	14.687	23.31	22.62	342.354	1.5871	332.2199	1.5401	715405.0566
DEH1_15	2015-07-13	85.04	64.34	14.668	24.69	20.7	362.1529	1.6833	303.6276	1.4112	665280.2075
DEH1_15	2015-07-14	85.04	69.02	14.649	27.03	16.02	395.9625	1.8452	234.677	1.0936	529624.8613
DEH1_15	2015-07-15	81.68	70.7	14.63	26.19	10.98	383.1597	1.7902	160.6374	0.7505	358112.0722
DEH1_15	2015-07-16	78.68	63.68	14.609	21.18	15	309.4186	1.4498	219.135	1.0268	455743.2201
DEH1_15	2015-07-17	82.64	60.02	14.588	21.33	22.62	311.162	1.4622	329.9806	1.5506	686730.4893
ILH1_15	2015-04-30	58.16	36.5	13.832	4.08	21.66	56.4346	0.295	299.6011	1.5659	392278.8676
ILH1_15	2015-05-01	70.16	35.78	13.87	10.08	34.38	139.8096	0.7267	476.8506	2.4787	700678.4541
ILH1_15	2015-05-02	76.4	49.28	13.908	13.2	27.12	183.5856	0.9491	377.185	1.95	659303.2571
ILH1_15	2015-05-03	82.58	55.88	13.946	19.23	26.7	268.1816	1.3789	372.3582	1.9145	719009.9665
ILH1_15	2015-05-04	80.72	59.18	13.983	19.95	21.54	278.9608	1.4267	301.1938	1.5404	589201.8866
ILH1_15	2015-05-05	85.88	60.38	14.02	23.13	25.5	324.2826	1.6498	357.51	1.8188	733097.5647
ILH1_15	2015-05-06	86	59.24	14.056	22.62	26.76	317.9467	1.6093	376.1386	1.9038	767884.4028
ILH1_15	2015-05-07	85.94	58.34	14.092	22.14	27.6	311.9969	1.5711	388.9392	1.9586	790788.7545
ILH1_15	2015-05-08	84.5	63.32	14.127	23.91	21.18	337.7766	1.6925	299.2099	1.4993	624825.9297
ILH1_15	2015-05-09	75.44	62.6	14.162	19.02	12.84	269.3612	1.343	181.8401	0.9067	355483.2602
ILH1_15	2015-05-10	80	62.66	14.197	21.33	17.34	302.822	1.5024	246.176	1.2214	498591.049
ILH1_15	2015-05-11	72.2	51.8	14.231	12	20.4	170.772	0.8432	290.3124	1.4335	512298.0348
ILH1_15	2015-05-12	63.02	46.1	14.265	6.51	16.92	92.8651	0.4564	241.3638	1.1861	375706.1187
ILH1_15	2015-05-13	65.9	42.2	14.298	7.95	23.7	113.6691	0.556	338.8626	1.6576	523750.7109
ILH1_15	2015-05-14	70.7	48.14	14.33	10.35	22.56	148.3155	0.7223	323.2848	1.5743	550546.6435
ILH1_15	2015-05-15	83	59.6	14.362	21.3	23.4	305.9106	1.4831	336.0708	1.6293	688280.1231
ILH1_15	2015-05-16	79.94	64.46	14.394	22.2	15.48	319.5468	1.5423	222.8191	1.0754	463128.1149
ILH1_15	2015-05-17	82.34	65.36	14.425	23.85	16.98	344.0363	1.6534	244.9365	1.1771	521854.9711
ILH1_15	2015-05-18	83.06	51.62	14.455	17.34	31.44	250.6497	1.1996	454.4652	2.175	884752.5787
ILH1_15	2015-05-19	63.05	43.52	14.485	6.525	19.53	94.5146	0.4505	282.892	1.3483	436690.9666
ILH1_15	2015-05-20	50.78	44.36	14.514	0.39	6.42	5.6605	0.0269	93.1799	0.4423	128668.5517
ILH1_15	2015-05-21	65.78	44.36	14.542	7.89	21.42	114.7364	0.5426	311.4896	1.473	498899.2135
ILH1_15	2015-05-22	77.66	47.66	14.57	13.83	30	201.5031	0.9492	437.1	2.059	798106.31
ILH1_15	2015-05-23	80.12	56.48	14.597	18.3	23.64	267.1251	1.2537	345.0731	1.6195	688058.5369
ILH1_15	2015-05-24	85.46	62.24	14.624	23.85	23.22	348.7824	1.6309	339.5693	1.5878	733457.692
ILH1_15	2015-05-25	83.12	67.1	14.649	25.11	16.02	367.8364	1.7141	234.677	1.0936	516423.7743
ILH1_15	2015-05-26	78.5	65.42	14.674	21.96	13.08	322.241	1.4965	191.9359	0.8914	405346.03
ILH1_15	2015-05-27	80.48	59.72	14.699	20.1	20.76	295.4499	1.3674	305.1512	1.4123	628855.6144
ILH1_15	2015-05-28	85.7	54.5	14.722	20.1	31.2	295.9122	1.3653	459.3264	2.1193	948060.8972
ILH1_15	2015-05-29	85.16	65.12	14.745	25.14	20.04	370.6893	1.705	295.4898	1.3591	654769.5243
ILH1_15	2015-05-30	76.04	49.4	14.767	13.02	26.64	192.2663	0.8817	393.3929	1.804	728710.1447
ILH1_15	2015-05-31	56.42	48.32	14.788	3.21	8.1	47.4695	0.2171	119.7828	0.5477	185530.9944
ILH1_15	2015-06-01	67.52	52.28	14.808	9.9	15.24	146.5992	0.6686	225.6739	1.0292	400345.173
ILH1_15	2015-06-02	72.92	50.54	14.827	11.73	22.38	173.9207	0.7911	331.8283	1.5094	607425.3743
ILH1_15	2015-06-03	76.88	51.92	14.846	14.4	24.96	213.7824	0.97	370.5562	1.6813	708564.4456
ILH1_15	2015-06-04	81.68	55.88	14.864	18.78	25.8	279.1459	1.2635	383.4912	1.7357	784121.3274
ILH1_15	2015-06-05	85.82	56.3	14.881	21.06	29.52	313.3939	1.4152	439.2871	1.9837	929042.9356
ILH1_15	2015-06-06	78.92	54.86	14.897	16.89	24.06	251.6103	1.1338	358.4218	1.6151	714306.2501
ILH1_15	2015-06-07	89.18	61.64	14.912	25.41	27.54	378.9139	1.704	410.6765	1.8468	923622.8368
ILH1_15	2015-06-08	81.8	64.34	14.926	23.07	17.46	344.3428	1.5456	260.608	1.1698	568460.4008
ILH1_15	2015-06-09	85.52	59.9	14.939	22.71	25.62	339.2647	1.5202	382.7372	1.715	831469.4947
ILH1_15	2015-06-10	89.96	66.8	14.951	28.38	23.16	424.3094	1.8982	346.2652	1.5491	811548.1514
