line_code	env_code	DTA	PH	YLD
G2F_1	DEH1_15	63.2026148539958	273.728889916452	196.456068349759
G2F_2	DEH1_15	58.0066216370925	201.858295699335	132.2338097474
G2F_3	DEH1_15	60.16970445146	244.38848755812	187.934406033827
G2F_4	DEH1_15	61.8982257731879	245.902567656343	149.720733723168
G2F_5	DEH1_15	62.3642304155063	262.665522590367	172.419472131677
G2F_6	DEH1_15	63.1529415964014	266.763822453115	162.141334856271
G2F_7	DEH1_15	62.5731899491784	266.727911659852	181.513950674741
G2F_8	DEH1_15	60.8982257731879	253.902567656343	165.023233413558
G2F_9	DEH1_15	62.8591675413773	260.499230980265	222.403009825026
G2F_10	DEH1_15	62.8162790763634	247.031404326675	173.976163533316
G2F_11	DEH1_15	62.8485039547874	257.107721943437	232.079209672383
G2F_12	DEH1_15	63.1171746677806	282.580516485765	230.592877969915
G2F_13	DEH1_15	64.7293325905317	282.462154114459	201.676554017367
G2F_14	DEH1_15	60.4121989122814	240.001748284006	190.60464458608
G2F_15	DEH1_15	55.16970445146	194.38848755812	140.677298220437
G2F_16	DEH1_15	55.7961003676948	221.919380565505	159.629532970204
G2F_17	DEH1_15	54.6385558714967	201.828413924732	142.02358226474
G2F_18	DEH1_15	55.3487280553085	204.536644748428	134.191028528194
G2F_19	DEH1_15	63.8509967161942	251.589325822157	249.537265956934
G2F_20	DEH1_15	60.3747154229053	241.86851063577	171.61687845924
G2F_21	DEH1_15	64.16970445146	271.38848755812	254.246353832787
G2F_22	DEH1_15	63.0981705942185	260.02187562342	169.090085021675
G2F_23	DEH1_15	61.3121441083792	229.789101083006	148.513144557476
G2F_24	DEH1_15	64.4273814931628	278.97253181023	204.312276776966
G2F_25	DEH1_15	63.0309233661152	240.904628982265	208.565086584095
G2F_26	DEH1_15	63.3382036379701	294.723533417893	221.333926403524
G2F_27	DEH1_15	59.8201093095668	220.095894304186	160.004741374764
G2F_28	DEH1_15	62.5426188779465	261.155962537455	208.118894833555
G2F_29	DEH1_15	62.9133654733296	249.977095001761	211.581994402612
G2F_30	DEH1_15	61.1361787413428	232.139157348109	168.897756477185
G2F_31	DEH1_15	59.8201093095668	269.095894304186	171.111486931294
G2F_32	DEH1_15	62.8857143560251	221.14724731764	241.157701836701
G2F_33	DEH1_15	65.019372318123	264.9476206295	208.664291245081
G2F_34	DEH1_15	61.4806296845969	252.466092304558	204.522265707821
G2F_35	DEH1_15	62.4936919069827	251.986805481653	209.446989870319
G2F_36	DEH1_15	65.4669687310303	263.259279251569	206.289602431731
G2F_37	DEH1_15	61.1858419530662	231.175082643279	197.286386798129
G2F_38	DEH1_15	60.6291872244057	221.365836836015	171.28841698897
G2F_39	DEH1_15	60.374306341878	220.553150850647	179.876209639471
G2F_40	DEH1_15	59.0981705942185	198.02187562342	156.371316763385
G2F_41	DEH1_15	59.8857143560251	194.14724731764	146.150697899571
G2F_42	DEH1_15	59.3726600927863	231.584426354391	140.0758764763
G2F_43	DEH1_15	59.8162790763634	196.031404326675	181.699143845806
G2F_44	DEH1_15	60.374306341878	217.553150850647	167.517767428571
G2F_45	DEH1_15	57.8162790763634	228.031404326675	155.323133715406
G2F_46	DEH1_15	60.374306341878	225.553150850647	180.462247557301
G2F_47	DEH1_15	61.3121441083792	229.789101083006	184.240775260386
G2F_48	DEH1_15	58.8512050726226	225.834453615198	150.496142405502
G2F_49	DEH1_15	60.6660845434596	230.31081490461	148.708839395891
G2F_50	DEH1_15	61.374306341878	239.553150850647	171.830800876461
G2F_51	DEH1_15	65.5523961156555	247.440085661378	178.884777946327
G2F_52	DEH1_15	61.6523202074782	257.069614414671	201.560098013675
G2F_53	DEH1_15	63.253954044715	256.556010488007	217.665978191335
G2F_54	DEH1_15	62.4583188610701	239.525938149952	203.282060203648
G2F_55	DEH1_15	59.1361787413428	187.139157348109	140.272398443075
G2F_56	DEH1_15	59.3726600927863	215.584426354391	150.58355308011
G2F_57	DEH1_15	64.7792510229263	281.879754498835	214.594907124269
G2F_58	DEH1_15	61.834740583806	214.587260277577	172.129685306151
G2F_59	DEH1_15	59.0309233661152	239.904628982264	187.468677948435
G2F_60	DEH1_15	60.3382036379701	251.723533417893	173.022141619284
G2F_61	DEH1_15	59.3726600927863	216.584426354391	186.86637759991
G2F_62	DEH1_15	57.3726600927863	225.584426354391	148.19815639009
G2F_63	DEH1_15	60.957224835291	255.526639975047	182.668322919386
G2F_64	DEH1_15	61.8512050726226	223.834453615198	164.008010530562
G2F_65	DEH1_15	62.0309233661152	218.904628982264	100.139942332515
G2F_66	DEH1_15	59.0947043552964	236.778993516545	169.684342467278
G2F_67	DEH1_15	63.5426188779465	233.155962537455	149.285924207495
G2F_68	DEH1_15	63.0981705942185	228.02187562342	169.362182594295
G2F_69	DEH1_15	65.1858419530662	257.175082643279	204.051526270629
G2F_70	DEH1_15	61.6385558714967	242.828413924732	208.36852607865
G2F_71	DEH1_15	60.3382036379701	218.723533417893	194.054949240604
G2F_72	DEH1_15	60.8982257731879	219.902567656343	181.322547497848
G2F_73	DEH1_15	64.1813640937566	241.625928420821	182.2041185519
G2F_74	DEH1_15	61.374306341878	243.553150850647	199.971260951641
G2F_75	DEH1_15	60.2839495031834	220.396213924041	203.158979041526
G2F_76	DEH1_15	66.2711822721232	241.986456956256	183.368482025398
G2F_77	DEH1_15	61.0010605147148	229.103243484977	245.176350005888
G2F_78	DEH1_15	61.4981981837032	245.462221639882	190.325604381591
G2F_79	DEH1_15	66.9929917639117	254.709945942397	160.872487426231
G2F_80	DEH1_15	59.8982257731879	210.902567656343	178.700798918077
G2F_81	DEH1_15	62.9753499899379	242.808757503869	202.070823834108
G2F_82	DEH1_15	63.3251738731746	289.256317250449	216.73737256143
G2F_83	DEH1_15	60.0309233661152	234.904628982265	138.793100144205
G2F_84	DEH1_15	59.9461679965588	252.002771508487	169.57620381421
G2F_85	DEH1_15	60.5963847011766	234.840160329289	150.948775293867
G2F_86	DEH1_15	60.8201093095668	223.095894304186	181.522446955024
G2F_87	DEH1_15	58.8162790763634	226.031404326675	161.897231043326
G2F_88	DEH1_15	62.2951748257341	279.621369704506	194.839797837091
G2F_89	DEH1_15	62.8857143560251	261.14724731764	183.067261097971
G2F_90	DEH1_15	59.3726600927863	244.584426354391	132.0203058971
G2F_91	DEH1_15	63.5021440907149	283.517174161251	202.823510049288
G2F_92	DEH1_15	59.3382036379701	219.723533417893	208.413475981344
G2F_93	DEH1_15	62.5612773692743	249.934132148746	158.676760397212
G2F_94	DEH1_15	61.2951748257341	215.621369704506	135.610875031541
G2F_95	DEH1_15	62.2951748257341	283.621369704506	192.484527943341
G2F_96	DEH1_15	60.6660845434596	241.31081490461	172.855227501101
G2F_97	DEH1_15	59.8162790763634	247.031404326675	199.454227763916
G2F_98	DEH1_15	60.8036594670566	238.705235393756	164.720588457158
