env_code	pop_code	ril_code	Prd_trait_mean	Prd_trait_kPara	Obs_trait	Line_mean
OHH1_15	1	G2F_28	258.132	268.26	245.467193388574	252.121977226146
DEH1_15	1	G2F_29	249.663	241.608	249.977095001761	249.002006560367
ILH1_15	1	G2F_29	250.45	250.501	240.889258192766	250.300268961652
INH1_15	1	G2F_29	223.452	231.57	228.650636322431	252.048643514557
MNH1_15	1	G2F_29	241.874	241.637	255.499907598055	248.213033332325
NEH4_15	1	G2F_29	251.794	245.902	245.176874125419	249.687752399844
OHH1_15	1	G2F_29	247.633	254.59	263.48810819914	247.071861817884
ONH1_15	1	G2F_29	256.974	246.315	230.008498199539	251.854663246398
ONH2_15	1	G2F_29	257.247	286.866	279.300763285216	244.812911091302
DEH1_15	1	G2F_3	250.064	243.308	244.38848755812	249.104942032475
INH1_15	1	G2F_3	233.897	240.531	226.563476736016	252.669944196896
MNH1_15	1	G2F_3	243.326	243.338	247.174497003738	248.547740143352
OHH1_15	1	G2F_3	247.092	251.38	258.729967174224	246.236646109255
ONH1_15	1	G2F_3	253.205	243.574	247.510983569634	248.480442830173
ONH2_15	1	G2F_3	268.243	292.468	265.545785678765	244.873482408346
DEH1_15	1	G2F_30	214.056	207.785	232.139157348109	212.944656331297
ILH1_15	1	G2F_30	216.442	215.725	214.315426945414	215.91527806508
INH1_15	1	G2F_30	199.662	217.851	185.201861214621	220.767539020212
MNH1_15	1	G2F_30	211.012	213.876	205.174793109127	217.438717037794
OHH1_15	1	G2F_30	217.94	221.414	208.295786833498	216.918551417066
ONH1_15	1	G2F_30	217.861	208.242	234.924169560572	212.48048762922
ONH2_15	1	G2F_30	253.614	244.831	229.755900324552	213.341865835224
DEH1_15	1	G2F_31	265.963	254.49	269.095894304186	264.587453247982
INH1_15	1	G2F_31	233.116	245.262	239.448939635136	270.516844181792
MNH1_15	1	G2F_31	259.03	257.92	259.825818193703	266.441468470079
OHH1_15	1	G2F_31	263.687	271.102	279.78780946945	262.449070214929
ONH1_15	1	G2F_31	276.797	261.861	244.998434051712	269.406945298477
ONH2_15	1	G2F_31	280.288	316.313	298.876264889909	258.631379130837
DEH1_15	1	G2F_32	235.901	231.258	221.14724731764	232.897149488089
ILH1_15	1	G2F_32	232.485	234.982	236.525267847865	230.334146066385
INH1_15	1	G2F_32	201.507	215.527	220.556191652693	232.99565876558
MNH1_15	1	G2F_32	231.036	231.66	223.00002865071	232.588352599244
NEH4_15	1	G2F_32	230.852	229.463	248.568999073727	228.326857528741
OHH1_15	1	G2F_32	232.289	243.489	238.758888321837	229.96187598739
ONH1_15	1	G2F_32	237.387	230.822	229.973521381702	231.426103810745
DEH1_15	1	G2F_33	254.118	246.287	264.9476206295	253.366475502825
ILH1_15	1	G2F_33	254.255	254.266	259.931776605442	254.083024649119
INH1_15	1	G2F_33	231.911	243.349	227.795947455091	258.673857384883
MNH1_15	1	G2F_33	250.325	251.305	240.999624369754	256.787617825646
NEH4_15	1	G2F_33	256.364	250.454	260.506853680931	254.000870781192
OHH1_15	1	G2F_33	253.745	260.015	266.802909981975	253.101434166757
ONH1_15	1	G2F_33	262.63	251.809	239.99830128194	256.930663981048
ONH2_15	1	G2F_33	279.067	307.929	277.52991514464	251.569004857805
DEH1_15	1	G2F_34	245.161	239.803	252.466092304558	244.511069244237
ILH1_15	1	G2F_34	245.479	245.452	246.72895380629	245.330660458275
INH1_15	1	G2F_34	220.408	239.233	225.129856607887	248.416245772333
MNH1_15	1	G2F_34	241.822	243.826	232.499856727961	247.363388612322
NEH4_15	1	G2F_34	246.224	241.796	254.627749077304	244.202261133845
OHH1_15	1	G2F_34	247.171	251.861	237.781717462448	246.608837078824
ONH1_15	1	G2F_34	249.399	241.131	249.994334982459	244.864177433108
ONH2_15	1	G2F_34	266.843	264.491	264.815016045309	242.746937281272
DEH1_15	1	G2F_35	259.718	251.7	251.986805481653	259.051781955417
ILH1_15	1	G2F_35	257.423	257.479	264.439196934407	257.272868890738
INH1_15	1	G2F_35	232.232	239.792	237.747211036175	261.086009733342
MNH1_15	1	G2F_35	252.623	252.123	254.999906140422	258.621339004164
NEH4_15	1	G2F_35	257.79	251.681	274.94570267361	255.771939499423
OHH1_15	1	G2F_35	257.186	264.514	268.992542115225	256.622391007764
ONH1_15	1	G2F_35	268.354	257.529	225.005991051179	262.906184016913
ONH2_15	1	G2F_35	267.831	304.443	287.231923736899	254.01676506181
DEH1_15	1	G2F_36	257.643	249.475	263.259279251569	256.96274217763
ILH1_15	1	G2F_36	256.424	256.468	268.113407388397	256.26929530094
INH1_15	1	G2F_36	222.415	238.144	241.502565643914	260.070844121581
MNH1_15	1	G2F_36	254.827	254.581	239.00002865071	260.428349406324
NEH4_15	1	G2F_36	259.478	253.518	260.660921099718	257.333936199323
OHH1_15	1	G2F_36	257.05	264.139	266.717515014708	256.468708497182
ONH1_15	1	G2F_36	266.355	255.599	235.010182361708	260.99832744761
ONH2_15	1	G2F_36	267.652	294.8	287.734575084255	253.466271344389
DEH1_15	1	G2F_37	230.295	223.695	231.175082643279	229.65289122475
ILH1_15	1	G2F_37	229.687	229.703	231.954808393574	229.541501831851
INH1_15	1	G2F_37	192.811	213.971	216.654768605731	231.727221801543
MNH1_15	1	G2F_37	224.604	225.352	226.000297767267	230.392146207038
NEH4_15	1	G2F_37	234.058	229.035	215.017872760283	231.961064065178
OHH1_15	1	G2F_37	231.484	237.775	222.224840661078	230.931497222207
ONH1_15	1	G2F_37	233.555	224.184	234.986855911278	229.108352186465
ONH2_15	1	G2F_37	235.781	234.497	260.73079447404	225.430646677499
DEH1_15	1	G2F_38	225.672	219.359	221.365836836015	225.058736533601
ILH1_15	1	G2F_38	225.058	225.078	222.341769390744	224.919317597211
INH1_15	1	G2F_38	200.213	212.069	206.018977591712	227.251144997073
MNH1_15	1	G2F_38	218.612	219.218	226.499761207343	224.325318766268
NEH4_15	1	G2F_38	227.18	222.254	220.173231186125	225.229108769299
OHH1_15	1	G2F_38	224.533	230.251	228.698075562018	224.011273858458
ONH1_15	1	G2F_38	229.285	220.223	222.487214531894	224.898539719904
ONH2_15	1	G2F_38	236.31	251.402	249.19212626537	221.083552329407
DEH1_15	1	G2F_39	228.159	222.627	220.553150850647	221.778359482292
ILH1_15	1	G2F_39	227.757	219.352	219.243028900984	222.040383872224
INH1_15	1	G2F_39	93.46	274.3	208.929945144693	224.103000623482
MNH1_15	1	G2F_39	221.669	224.085	211.174369508434	223.654115750734
OHH1_15	1	G2F_39	234.739	242.513	194.530422865098	226.982905079401
ONH1_15	1	G2F_39	211.863	211.07	275.014030992249	210.886183453971
DEH1_15	1	G2F_4	247.503	240.752	245.902567656343	246.820619082542
ILH1_15	1	G2F_4	246.999	247.011	245.734596217056	246.84461500244
INH1_15	1	G2F_4	211.59	231.827	230.39003369556	249.036695362654
MNH1_15	1	G2F_4	242.852	243.696	233.174688044308	248.638887598547
NEH4_15	1	G2F_4	249.141	243.832	244.797467768143	246.978490495142
OHH1_15	1	G2F_4	246.804	252.804	250.096241536322	246.221522813974
ONH1_15	1	G2F_4	251.001	241.204	249.999299794331	246.235371634258
ONH2_15	1	G2F_4	260.514	270.777	273.552006522074	242.87069924458
DEH1_15	1	G2F_40	225.681	210.479	198.02187562342	213.114777213711
ILH1_15	1	G2F_40	222.489	222.004	204.875601905281	211.744031957339
INH1_15	1	G2F_40	167.07	237.649	170.201861214621	218.678780095471
MNH1_15	1	G2F_40	203.955	206.515	224.173933462401	207.884365645915
OHH1_15	1	G2F_40	221.972	248.201	211.295786833498	210.459994971696
ONH1_15	1	G2F_40	215.859	200.971	255.026702652756	201.713811807844
DEH1_15	1	G2F_41	226.639	215.035	194.14724731764	216.888014929054
ILH1_15	1	G2F_41	215.5	213.743	234.168564554793	208.883751481623
INH1_15	1	G2F_41	80.053	210.966	192.338142010345	217.249835990513
MNH1_15	1	G2F_41	214.625	216.342	192.174369508434	217.282590490895
OHH1_15	1	G2F_41	222.121	244.274	210.760564519984	213.565351488585
ONH1_15	1	G2F_41	212.909	204.164	254.998434051712	204.717777582239
DEH1_15	1	G2F_42	218.153	210.358	231.584426354391	212.337226147153
ILH1_15	1	G2F_42	221.731	222.152	214.875601905281	215.678991036975
INH1_15	1	G2F_42	258.788	239.047	186.467661101823	221.360579197667
MNH1_15	1	G2F_42	210.18	211.566	230.825588952285	212.488993627574
OHH1_15	1	G2F_42	222.45	242.278	214.530422865098	215.748026845012
ONH1_15	1	G2F_42	229.594	215.183	214.986855911278	215.656740235776
DEH1_15	1	G2F_43	223.373	216.965	196.031404326675	217.058635709752
ILH1_15	1	G2F_43	216.801	212.713	219.243028900984	212.41631079489
INH1_15	1	G2F_43	131.722	237.673	200.929945144693	216.078927546148
MNH1_15	1	G2F_43	212.41	213.98	210.825907490226	214.099735077042
OHH1_15	1	G2F_43	222.372	234.361	199.309017563254	216.403113062436
ONH1_15	1	G2F_43	206.745	205.174	254.985279449602	205.267860685166
DEH1_15	1	G2F_44	226.123	216.396	217.553150850647	219.011112123613
ILH1_15	1	G2F_44	226.503	229.813	212.752282231808	219.971285847381
INH1_15	1	G2F_44	260.347	223.44	188.895290498114	224.74268419412
MNH1_15	1	G2F_44	212.541	213.638	237.824996752514	214.95674294324
OHH1_15	1	G2F_44	222.612	241.181	230.561926206545	216.409357052434
ONH1_15	1	G2F_44	230.451	216.833	225.021064929085	217.517529307926
DEH1_15	1	G2F_45	238.416	234.589	228.031404326675	237.49436100157
MNH1_15	1	G2F_45	211.212	238.336	219.175257808727	239.708397631057
NEH4_15	1	G2F_45	240.834	234.149	238.568999073727	234.859962314807
OHH1_15	1	G2F_45	234.496	285.572	242.309017563254	233.924957692425
ONH1_15	1	G2F_45	244.733	227.992	249.924169560572	232.021169693096
DEH1_15	1	G2F_46	224.913	222.19	225.553150850647	238.807637244237
NEH4_15	1	G2F_46	226.646	224.881	231.739829637732	237.260967547466
OHH1_15	1	G2F_46	223.924	241.466	227.358154811894	238.356386253926
ONH1_15	1	G2F_46	234.948	224.396	224.995907276122	238.946948137869
ONH2_15	1	G2F_46	220.619	230.31	271.136657251201	227.411760644099
DEH1_15	1	G2F_47	237.971	234.567	229.789101083006	235.248870917167
ILH1_15	1	G2F_47	234.029	233.64	243.582305707299	232.490229992308
INH1_15	1	G2F_47	217.607	234.8	227.647921487863	235.677106836195
MNH1_15	1	G2F_47	234.258	234.358	232.173933462401	234.771904441288
NEH4_15	1	G2F_47	235.025	233.275	241.739829637732	232.858725206222
OHH1_15	1	G2F_47	237.55	245.961	231.100364290539	234.98661827566
DEH1_15	1	G2F_48	234.876	233.461	225.834453615198	235.6940210217
MNH1_15	1	G2F_48	227.881	230.063	237.500103402034	233.360891064333
NEH4_15	1	G2F_48	230.348	228.296	248.278357543988	231.205240235942
OHH1_15	1	G2F_48	233.75	236.054	230.467193388574	234.767473067025
ONH1_15	1	G2F_48	236.977	235.382	220.018548974445	236.85720194985
ONH2_15	1	G2F_48	209.756	235.627	242.205901799458	232.419731384848
DEH1_15	1	G2F_49	242.534	238.364	230.31081490461	241.841569195073
ILH1_15	1	G2F_49	239.303	239.252	249.168564554793	239.147604959332
INH1_15	1	G2F_49	220.302	239.131	215.435853537296	243.966563676118
MNH1_15	1	G2F_49	234.849	237.815	236.000191030706	241.028801177059
NEH4_15	1	G2F_49	243.497	239.369	234.122196293291	241.297086139547
OHH1_15	1	G2F_49	242.787	246.95	227.844135922012	242.193951906872
ONH1_15	1	G2F_49	239.561	231.538	275.003960420181	235.45683412142
ONH2_15	1	G2F_49	269.715	263.018	255.31608260723	238.269388094698
DEH1_15	1	G2F_5	251.787	241.953	262.665522590367	250.665201128184
ILH1_15	1	G2F_5	256.277	255.393	232.187417399982	255.744885326582
INH1_15	1	G2F_5	218.512	234.035	231.341990860603	255.885789749811
MNH1_15	1	G2F_5	247.35	246.892	243.50011629267	253.859435511134
OHH1_15	1	G2F_5	250.165	256.241	271.686719632578	249.161668287816
ONH1_15	1	G2F_5	260.201	247.494	242.517547960667	254.023196899801
ONH2_15	1	G2F_5	267.089	289.729	282.757414622605	247.316552456145
DEH1_15	1	G2F_50	250.778	239.146	239.553150850647	249.362129299972
ILH1_15	1	G2F_50	248.922	248.889	244.875601905281	248.60177914931
INH1_15	1	G2F_50	207.436	235.331	196.56181003814	255.503749416044
MNH1_15	1	G2F_50	238.23	241.922	230.825636711278	250.608917034168
NEH4_15	1	G2F_50	251.024	241.05	258.797294713795	246.612965890951
OHH1_15	1	G2F_50	247.398	257.222	261.729967174224	246.194012682318
ONH1_15	1	G2F_50	254.543	235.958	269.988694232534	245.014194531131
ONH2_15	1	G2F_50	303.267	334.637	282.755900324552	243.190307946557
DEH1_15	1	G2F_51	238.338	230.435	247.440085661378	237.41065624581
ILH1_15	1	G2F_51	238.786	238.756	239.294075876488	238.574371929365
INH1_15	1	G2F_51	227.476	236.047	195.929945144693	244.769247748193
MNH1_15	1	G2F_51	230.552	233.314	235.99992668843	239.044964670516
NEH4_15	1	G2F_51	240.716	234.28	244.704291997854	237.801483912027
OHH1_15	1	G2F_51	237.904	244.009	249.540916337332	237.110537577816
ONH1_15	1	G2F_51	245.049	233.018	240.020366822503	238.470616079935
ONH2_15	1	G2F_51	281.514	309.819	256.385070853367	236.132801218383
DEH1_15	1	G2F_52	252.617	244.708	257.069614414671	251.678892540747
ILH1_15	1	G2F_52	251.656	251.629	258.719619789608	251.443177487185
INH1_15	1	G2F_52	221.195	243.339	220.299768484679	256.931727673603
MNH1_15	1	G2F_52	245.19	247.848	243.999988781325	253.54598191694
NEH4_15	1	G2F_52	254.878	248.362	255.352372060624	251.92421287704
OHH1_15	1	G2F_52	254.511	261.612	242.893383433812	253.704068395156
ONH1_15	1	G2F_52	257.756	245.551	259.999997541044	251.260266379837
ONH2_15	1	G2F_52	282.582	286.287	280.48711769414	248.333534929395
DEH1_15	1	G2F_53	246.836	239.015	256.556010488007	246.090320391143
ILH1_15	1	G2F_53	248.483	248.497	241.001858736489	248.312342069931
INH1_15	1	G2F_53	212.049	231.824	227.655949691607	250.218900504914
