meanY	env_code	DL	GDD	DTR	PTT	PTR	PTD	PTD2	PTS
212.027201714915	INH1_15	14.9942	22.4582	21.5507	336.9133	1.497	322.9862	1.438	696420.1131
233.286715816104	MNH1_15	15.4631	19.47	18.8143	301.0612	1.2591	290.9053	1.2168	634168.979
239.851811476229	ILH1_15	14.7041	16.3243	21.1929	239.8796	1.1109	311.5033	1.4419	607325.266
240.302434529196	OHH1_15	14.9826	24.5079	17.0871	367.1513	1.6359	255.9496	1.1407	575608.2586
240.405745757909	DEH1_15	14.5469	18.975	21.8057	276.5679	1.3019	317.2182	1.499	637847.8711
241.943751060844	NEH4_15	15.0302	21.7179	19.2471	326.2789	1.4456	289.2416	1.2808	623912.7061
244.676427855597	ONH1_15	15.0579	12.1789	23.3893	183.2404	0.8095	351.7409	1.5554	632529.4358
265.0197119621	ONH2_15	15.104	11.64	16.0586	175.9344	0.7701	242.5824	1.0631	457465.2333
