ID	PR11	PR12	IA14	IA13	PR14S	KS11	KS12
RIL74	1464.7108	1481.7672	1414.22	1832.3932	2059.73	2712.13	2544.1493
RIL75	1629.878	1554.4531	1525.499	1771.4834	1783.06	2370.361	2356.4452
RIL76	1679.67	1627.83	1552.1193	1903.604	1704.52	2206.7083	2280.3
RIL77	1511.3369	1512.9183	1463.1451	1707.65	1670.48	1919.43	2062.69
RIL78	1454.83	1492.1509	1426.45	1845.6053	1670.48	1920	2270.9
RIL79	1570.6074	1470.3451	1382.8	1807.0888	2105.99	2570.41	2520.185
RIL80	1753.16	1616.76	1663.64	2036.17	1880.8147	2359.8909	2628.07
RIL81	1753.16	1595.988	1663.64	1896.4382	2076.32	2400.49	2491.6308
RIL82	1653.9813	1606.3717	1634.3785	1967.65	2121.7	2298.1382	2519.3395
RIL83	1631.4585	1491.1125	1619.9891	1953.3172	2505.72	2843.29	2932.94
RIL84	1547.6895	1460.3075	1654.52	2091.48	2571.18	2966.88	2971.67
RIL85	1488.0238	1459.9614	1538.6892	1771.4834	1852.0133	2192.7481	2442.3494
RIL86	1766.2	1606.7178	1725.51	2070.66	1967.2189	2276.4382	2377.9454
RIL87	1791.88	1595.2958	1634.3785	1910.5459	2120.39	2246.9982	2592.15
RIL88	1716.41	1564.8369	1619.9891	1864.8636	1941.0358	2420.36	2592.15
RIL89	1454.83	1492.1509	1538.9291	1953.7651	2137.85	3072.59	3174.11
RIL90	1464.7108	1481.7672	1474.177	1820.0769	1817.1	2153.34	2315.11
RIL91	1605.7746	1523.302	1538.9291	1795.8921	1986.4198	2263.8787	2463.5839
RIL92	1488.0238	1428.118	1475.3761	1716.17	1666.99	2153.53	2432.2033
RIL93	1478.1454	1470.3451	1438.68	1981.76	2137.85	2823.45	2898.15
RIL94	1830.61	1595.988	1634.3785	1863.785	2052.27	2152.05	2229.57
RIL95	1606.1698	1512.9183	1579.9387	1845.6053	2092.02	2525.09	2693.47
RIL96	1488.0238	1502.5346	1438.68	1734.53	1926.1987	2285.5788	2315.11
RIL97	1501.4585	1428.118	1645.4103	2097.98	2505.72	3307.95	3467.31
RIL98	1464.7108	1502.5346	1525.499	1963.83	2076.32	3143.21	2881.29
RIL99	1716.41	1574.5283	1579.9387	1953.0933	1635.57	2139.52	2554.95
RIL100	1678.48	1523.302	1654.52	1967.87	2108.17	2545.48	2815.32
RIL101	1629.878	1544.0694	1681.86	1995.64	1986.4198	2487.03	2707.53
RIL102	1740.12	1595.6419	1594.3281	1856.802	1783.06	2167.34	2356.8076
RIL103	1454.83	1492.1509	1525.499	1885.4654	2270.94	2606.88	2679.96
RIL104	1779.24	1595.6419	1538.9291	1795.8921	1769.97	2000.11	2128.86
RIL105	1467.0816	1459.9614	1579.9387	2024.3	2715.84	3162.22	3185
RIL106	1710.3	1501.4962	1552.1193	1807.0888	1835.4307	2124.09	2204.42
RIL107	1488.0238	1459.9614	1372.01	1697.14	1585.38	2011.79	2062.69
RIL108	1488.0238	1448.5393	1608.9573	1770.1398	1767.35	2048.78	2217.47
RIL109	1753.16	1544.0694	1736.54	2199.87	2044.02	2607.59	2984.78
RIL110	1464.7108	1492.1509	1525.499	1967.65	2372.18	3194.32	3317.58
RIL111	1593.9205	1615.72	1654.52	1709.9	1835.4307	2107.99	2050.13
RIL112	1478.1454	1512.9183	1525.499	1641.83	1550.47	1748.51	1871.34
RIL113	1517.9961	1502.5346	1538.9291	1939.6573	2121.7	3055.6	2981.33
RIL114	1454.83	1502.5346	1714.48	2078.05	2767.98	3275.21	3467.31
RIL115	1488.0238	1459.9614	1474.177	1709.9	1601.53	1935.17	2081.77
RIL116	1432.31	1459.9614	1342.51	1680.34	1967.2189	2683.28	2682.91
RIL117	1478.1454	1543.7233	1525.499	1910.9938	1897.3973	2355.6173	2578.72
RIL118	1630.6682	1470.3451	1594.5679	1723.05	1735.94	1801.77	2092.38
RIL119	1478.1454	1512.9183	1594.5679	1863.785	1769.97	2194.8373	2420.8492
RIL120	1523.191	1523.302	1372.01	1582.93	1550.47	1835.53	1871.34
RIL121	1488.0238	1481.7672	1498.6389	2036.4	2187.59	3090.19	3309.15
RIL122	1432.31	1459.9614	1403.19	1967.87	2014.3484	2893.44	3075.11
RIL123	1653.9813	1501.4962	1581.1378	1949.7815	1890.4152	2138.09	2293.61
RIL124	1558.7533	1533.6857	1654.52	1910.5459	1967.2189	2216.205	2519.3395
RIL125	1642.9175	1564.8369	1538.9291	1807.0888	1735.94	2051.32	2406.548
RIL126	1606.1698	1533.6857	1525.499	1745.73	1817.1	1988.52	2102.77
RIL127	1511.3369	1449.9238	1474.177	1953.7651	2076.32	2995.79	3034.26
RIL128	1454.83	1470.6912	1475.3761	1736.77	1601.53	1880.87	2097.23
RIL129	1577.6019	1502.5346	1426.45	1869.1183	1636.44	1934.86	2122.33
RIL130	1618.0239	1533.6857	1538.9291	1821.8684	1670.48	2047.45	2317.89
RIL131	1444.95	1448.5393	1405.35	1882.4382	1954.1274	2778.89	2795.9
RIL132	1546.8992	1492.1509	1538.6892	1754.69	1636.44	2066.75	2107.84
RIL133	1665.84	1501.4962	1525.499	1716.17	1801.39	1915.78	2008.89
RIL134	1687.76	1585.2582	1565.3095	1820.0769	2029.1855	2164.78	2258.8
RIL135	1642.9175	1502.5346	1634.3785	1783.1279	1783.06	1994.65	2216.52
RIL136	1535.8354	1565.5291	1538.6892	1725.13	1926.1987	2028.07	2159.78
RIL137	1582.0664	1518.0591	1619.9891	1859.7131	1701.9	2254.3345	2331.88
RIL138	1464.7108	1471.3834	1525.499	1889.2723	1786.12	1982.68	2174.51
RIL139	1534.65	1512.9183	1512.0689	1782.6801	1868.596	2035.22	2232.2
RIL140	1618.0239	1481.7672	1623.3466	1794.3246	1952.3818	2139.38	2342.75
RIL141	1727.48	1647.91	1654.52	1846.725	1880.8147	2018.15	2087.06
RIL142	1454.44	1471.3834	1463.1451	1752	1801.39	1912.21	2050.13
RIL143	1511.3369	1523.302	1475.3761	1736.77	1601.53	1851.62	1947.22
RIL144	1569.8172	1533.3396	1608.9573	2078.05	2153.56	2882.33	3164.73
RIL145	1535.4403	1481.7672	1538.6892	1757.38	1815.36	1970.86	2066.31
RIL146	1605.7746	1533.6857	1757.65	2097.08	2046.64	2459.06	2946.78
RIL147	1556.47	1480.7288	1672.75	2138.96	2414.95	2954.55	3075.59
RIL148	1465.501	1448.5393	1488.8061	2037.96	2106.43	2591.3	2831.96
RIL149	1490.3947	1448.5393	1414.22	1845.6053	2013.4757	2372.7589	2544.1493
RIL150	1432.31	1407.7	1538.6892	1757.38	1835.4307	2834.42	2073.08
RIL151	1740.52	1554.4531	1594.5679	1857.81	1852.0133	1870.43	2154.68
RIL152	1454.83	1492.1509	1841.59	2137.84	3032.87	2678.79	3215.17
RIL153	1501.4585	1459.9614	1579.9387	1874.2688	1817.98	2078.98	2267.01
RIL154	1501.4585	1502.5346	1594.3281	1653.47	1897.3973	1828.1	1929.1
RIL155	1558.7533	1502.5346	1525.499	1831.2736	1670.48	1963.28	2355.5514
RIL156	1569.8172	1533.6857	1608.9573	2009.75	1906.125	2370.361	2739.92
RIL157	1444.95	1502.5346	1594.5679	1869.1183	1783.06	2299.3491	2786.79
RIL158	1684.67	1627.83	1594.5679	1757.38	1852.0133	2108.46	2158.28
RIL159	1703.37	1595.6419	1566.7485	1832.6172	1735.94	2139.38	2240.42
RIL160	1488.0238	1512.9183	1594.3281	1821.1993	1717.61	1851.62	2066.31
RIL161	1478.1454	1492.1509	1552.1193	1821.1993	1987.2926	2094.17	2442.3494
RIL162	1593.9205	1533.6857	1608.9573	1939.6573	2457.72	2148.83	2948.98
RIL163	1558.7533	1512.9183	1538.9291	1736.77	1670.48	2066.75	2335.45
RIL164	1740.52	1595.988	1566.7485	1776.9527	1817.1	1853.33	1991.47
RIL165	1454.83	1492.1509	1525.2592	1996.09	2188.9	3016.26	3044.89
RIL166	1558.7533	1491.1125	1525.499	1762.5261	1908.7433	2123.42	2144.29
RIL167	1488.0238	1459.9614	1766.04	2198.52	2720.86	3294.92	3317.58
RIL168	1523.5862	1502.5346	1594.5679	1783.1279	1952.3818	2164.78	2356.4452
RIL169	1523.5862	1533.6857	1579.9387	2064.39	2154.86	2997.91	3269.24
RIL170	1593.9205	1502.5346	1538.9291	1725.13	1735.94	1912.21	2081.77
RIL171	1740.52	1532.6474	1474.177	1708.33	1566.62	1853.33	1963.74
RIL172	1444.95	1470.3451	1512.0689	2051.62	2171.88	2871.91	2940.96
RIL173	1534.65	1523.302	1594.5679	1734.31	1653.89	1867.06	2052.08
RIL174	1511.3369	1554.107	1525.499	1717.29	1752.08	1803.12	1904.31
RIL175	1511.3369	1502.5346	1461.946	1725.13	1566.62	1853.33	2004.98
RIL176	1665.84	1512.9183	1512.0689	1691.09	1566.62	1772.59	1919.48
RIL177	1546.8992	1470.3451	1512.0689	1771.4834	1566.62	1949.3	2147.68
RIL178	1442.19	1449.9238	1594.3281	1981.08	2271.82	3055.81	2916.61
RIL179	1546.8992	1481.7672	1552.1193	1925.1016	1908.7433	2340.1851	2631.87
RIL180	1692.7	1595.6419	1579.9387	1832.3932	1954.1274	2051.32	2102.77
RIL181	1668.03	1471.3834	1498.6389	1866.8457	1636.44	2020.79	2206.86
RIL182	1642.9175	1512.9183	1538.9291	1953.0933	1735.94	2004.62	2192.9
RIL183	1581.6713	1438.5017	1681.86	2037.06	2846.53	3190.45	3117.87
RIL184	1535.8354	1492.1509	1565.3095	1896.4382	1817.1	2164.78	2302.07
RIL185	1582.0664	1523.302	1623.3466	1869.1183	1636.44	1901.96	2158.28
RIL186	1582.0664	1459.9614	1608.9573	1938.9855	1897.3973	2202.1973	2454.9355
RIL187	1444.95	1480.7288	1565.3095	1869.1183	1801.39	2000.15	2203.48
RIL188	1535.8354	1523.302	1538.9291	1794.3246	1686.62	1801.77	1945.55
RIL189	1557.9631	1544.0694	1512.0689	1754.69	1566.62	1949.3	2144.29
RIL190	1535.4403	1533.6857	1623.3466	1981.98	2076.32	2359.8909	2809.28
RIL191	1557.9631	1491.1125	1634.3785	1896.4382	1670.48	2254.3345	2329.85
RIL192	1546.8992	1470.3451	1414.22	1589.37	1550.47	1650.17	1887.86
RIL193	1419.67	1481.7672	1552.1193	1939.2094	2304.98	2751.35	2990.34
RIL194	1442.19	1428.118	1754.53	2249.58	2669.58	3156.07	3467.31
RIL195	1606.1698	1480.7288	1525.499	1770.1398	1686.62	1869.43	2293.61
RIL196	1500.2731	1512.9183	1565.3095	1856.802	1868.596	2315.0187	2356.4452
RIL197	1714.44	1492.1509	1594.5679	1910.9938	2030.0583	2166.87	2512.8894
RIL198	1432.31	1470.3451	1538.6892	1734.09	1636.44	1980.83	2182.49
RIL199	1488.0238	1492.1509	1474.177	1635.11	1704.52	1870.43	2034.67
RIL200	1511.3369	1481.7672	1475.3761	1663.1	1670.48	1753.29	2076.19
RIL201	1580.6873	1481.7672	1463.1451	1721.55	1967.2189	1929.31	2240.42
RIL202	1740.12	1491.1125	1645.4103	1990.33	2013.9121	2370.9783	2580.29
RIL203	1500.2731	1470.3451	1426.45	2064.39	2046.64	2462.17	2782.39
RIL204	1501.4585	1460.3075	1426.45	1622.56	1502.03	1686.97	1856.17
RIL205	1511.3369	1512.9183	1501.0371	1682.13	1566.62	1667.98	1752.7
RIL206	1569.8172	1554.4531	1623.3466	1832.6172	1752.08	2008.18	2342.75
RIL207	1690.73	1564.8369	1634.3785	1953.3172	1835.4307	2176.41	2841.63
RIL208	1582.0664	1533.6857	1487.607	1821.1993	1701.9	1898.68	2144.32
RIL209	1444.95	1459.9614	1594.3281	1854.4426	2137.41	2676.47	2862.93
RIL210	1733.54	1544.0694	1552.1193	1851.8376	2046.64	2330.6883	2377.9454
RIL211	1642.9175	1502.5346	1663.64	1953.3172	2076.32	2160.46	2334.95
RIL212	1419.67	1438.5017	1382.09	1981.98	2014.3484	2343.0104	3086.73
RIL213	1444.95	1428.118	1342.51	1773.7227	1967.2189	2313.0956	2782.63
RIL214	1618.8141	1575.2206	1474.177	1723.05	1781.32	1949.96	2229.57
RIL215	1464.7108	1459.9614	1485.2088	1762.5261	1924.4532	1920	2151.57
RIL216	1546.5041	1481.7672	1579.9387	1820.0769	1801.39	2108.46	2534.6795
RIL217	1692.7	1523.302	1645.4103	1966.98	1967.2189	2066.75	2441.4073
RIL218	1618.8141	1512.9183	1485.2088	1782.6801	1817.1	2022	2267.01
RIL219	1558.42	1617.45	1654.52	2036.4	2092.02	2613.76	2396.8849
RIL220	1418.87	1438.5017	1450.9142	1682.13	1601.53	1548.96	1932.05
RIL221	1464.7108	1502.5346	1819.28	2172.79	3252.37	3032.83	3050.9
RIL222	1454.83	1439.5401	1672.75	2197.63	2287.96	2538.12	2990.34
RIL223	1569.8172	1502.5346	1498.6389	1725.13	1701.9	1838.9	1872.62
RIL224	1534.65	1471.3834	1538.9291	1682.13	1636.44	1754.43	1919.48
RIL225	1478.1454	1459.9614	1552.1193	1870.9098	1636.44	2423.59	2054.91
RIL226	1452.07	1428.118	1450.9142	1820.0769	2046.64	2476.91	2786.79
RIL227	1593.9205	1533.6857	1634.3785	1896.4382	2046.64	2145.5	2566.78
RIL228	1535.8354	1492.1509	1579.9387	2009.97	2364.77	2867.16	3123.64
RIL229	1488.0238	1554.4531	1594.5679	1885.4654	1704.52	2031.68	2355.5514
RIL230	1525.5618	1407.7	1565.3095	1925.1016	2271.82	2476.91	3037.64
RIL231	1419.67	1428.118	1476.5752	1910.9938	2153.56	2503.74	2865.32
RIL232	1511.3369	1481.7672	1415.42	1793.8767	1636.44	1904.57	2194.76
RIL233	1525.5618	1449.9238	1512.0689	1855.9062	1817.1	1870.43	2050.85
RIL234	1595.8962	1502.5346	1463.1451	1715.5	1535.2	1788.19	1963.74
RIL235	1780.03	1512.9183	1634.3785	2071.55	2364.77	3049.92	3005.2
RIL236	1465.501	1418.0804	1538.9291	1856.802	1783.06	2079.21	2621.19
RIL237	1593.9205	1575.2206	1525.499	1797.6757	1670.48	1920	1919.48
